source_table,field,data_type,analysis_role,description
center1_gbm_multiomics_subset_patient_level.csv,patient_id,categorical_or_text,identifier,De-identified patient-level key used for joins.
center1_gbm_multiomics_subset_patient_level.csv,center,categorical_or_text,input_or_derived_analysis_field,Participating center label.
center1_gbm_multiomics_subset_patient_level.csv,institution,categorical_or_text,input_or_derived_analysis_field,Institution label.
center1_gbm_multiomics_subset_patient_level.csv,imaging_cohort,categorical_or_text,input_or_derived_analysis_field,Imaging cohort used for nested-subset provenance.
center1_gbm_multiomics_subset_patient_level.csv,imaging_cohort_label,categorical_or_text,input_or_derived_analysis_field,Field retained from the supplied analysis table.
center1_gbm_multiomics_subset_patient_level.csv,cohort,categorical_or_text,input_or_derived_analysis_field,Analysis cohort.
center1_gbm_multiomics_subset_patient_level.csv,cohort_label,categorical_or_text,input_or_derived_analysis_field,Field retained from the supplied analysis table.
center1_gbm_multiomics_subset_patient_level.csv,cohort_period,categorical_or_text,input_or_derived_analysis_field,Field retained from the supplied analysis table.
center1_gbm_multiomics_subset_patient_level.csv,multiomics_subset,numeric,input_or_derived_analysis_field,Field retained from the supplied analysis table.
center1_gbm_multiomics_subset_patient_level.csv,subtype,categorical_or_text,input_or_derived_analysis_field,Molecular tumor subtype.
center1_gbm_multiomics_subset_patient_level.csv,omics_type,categorical_or_text,input_or_derived_analysis_field,Available transcriptomic modality in the nested subset.
center1_gbm_multiomics_subset_patient_level.csv,age,numeric,input_or_derived_analysis_field,"Age at imaging, in years."
center1_gbm_multiomics_subset_patient_level.csv,sex,categorical_or_text,input_or_derived_analysis_field,Recorded sex category.
center1_gbm_multiomics_subset_patient_level.csv,preoperative_kps,numeric,input_or_derived_analysis_field,Preoperative Karnofsky Performance Status.
center1_gbm_multiomics_subset_patient_level.csv,who_grade,categorical_or_text,input_or_derived_analysis_field,Integrated WHO tumor grade category.
center1_gbm_multiomics_subset_patient_level.csv,mgmt_promoter_methylation,categorical_or_text,input_or_derived_analysis_field,MGMT promoter methylation category.
center1_gbm_multiomics_subset_patient_level.csv,extent_of_resection,categorical_or_text,input_or_derived_analysis_field,Extent of surgical resection.
center1_gbm_multiomics_subset_patient_level.csv,postoperative_radiotherapy,categorical_or_text,input_or_derived_analysis_field,Recorded postoperative radiotherapy status.
center1_gbm_multiomics_subset_patient_level.csv,postoperative_chemotherapy,categorical_or_text,input_or_derived_analysis_field,Recorded postoperative chemotherapy status.
center1_gbm_multiomics_subset_patient_level.csv,tumor_location,categorical_or_text,input_or_derived_analysis_field,Conventional MRI tumor-location category.
center1_gbm_multiomics_subset_patient_level.csv,tumor_volume_cm3,numeric,input_or_derived_analysis_field,Tumor volume in cubic centimeters.
center1_gbm_multiomics_subset_patient_level.csv,enhancing_proportion,categorical_or_text,input_or_derived_analysis_field,Ordinal enhancing-tumor proportion category.
center1_gbm_multiomics_subset_patient_level.csv,necrotic_proportion,categorical_or_text,input_or_derived_analysis_field,Ordinal necrotic-tumor proportion category.
center1_gbm_multiomics_subset_patient_level.csv,peritumoral_flair_extent,categorical_or_text,input_or_derived_analysis_field,Ordinal peritumoral T2/FLAIR abnormality category.
center1_gbm_multiomics_subset_patient_level.csv,ependymal_involvement,categorical_or_text,input_or_derived_analysis_field,Ependymal involvement category.
center1_gbm_multiomics_subset_patient_level.csv,deep_white_matter_invasion,categorical_or_text,input_or_derived_analysis_field,Deep-white-matter invasion category.
