"subtype","type_measure","lambda_rule","lambda","n_predictor_groups","selected_predictors"
"IDHmut-intact","deviance","lambda.1se",0.14787013926570608,0,""
"IDHmut-intact","deviance","lambda.min",0.0484208041250578,4,"who_grade; extent_of_resection; log_tumor_volume; enhancing_ord"
"IDHmut-intact","C","lambda.1se",0.1118583376239781,1,"log_tumor_volume"
"IDHmut-intact","C","lambda.min",0.08461673031575831,2,"who_grade; log_tumor_volume"
"IDHmut-codel","deviance","lambda.1se",0.09967205649954437,0,""
"IDHmut-codel","deviance","lambda.min",0.05703601529504315,4,"who_grade; extent_of_resection; log_tumor_volume; flair_ord"
"IDHmut-codel","C","lambda.1se",0.08274949237210405,3,"who_grade; extent_of_resection; flair_ord"
"IDHmut-codel","C","lambda.min",0.07539825554345682,3,"who_grade; extent_of_resection; flair_ord"
"GBM","deviance","lambda.1se",0.13338696142830261,2,"age; necrotic_ord"
"GBM","deviance","lambda.min",0.05261056619713295,5,"age; mgmt_promoter_methylation; extent_of_resection; necrotic_ord; ependymal_involvement"
"GBM","C","lambda.1se",0.12153723141541319,3,"age; mgmt_promoter_methylation; necrotic_ord"
"GBM","C","lambda.min",0.05774003144824127,4,"age; mgmt_promoter_methylation; extent_of_resection; necrotic_ord"
