"cohort","subtype","bootstrap","model","metric","value"
"Training cohort","IDHmut-intact",1,"3D-CNN","cindex",0.6829643296432965
"Training cohort","IDHmut-intact",2,"3D-CNN","cindex",0.6617292225201072
"Training cohort","IDHmut-intact",3,"3D-CNN","cindex",0.67906186267845
"Training cohort","IDHmut-intact",4,"3D-CNN","cindex",0.5734922588585865
"Training cohort","IDHmut-intact",5,"3D-CNN","cindex",0.6129032258064516
"Training cohort","IDHmut-intact",6,"3D-CNN","cindex",0.6539411474137322
"Training cohort","IDHmut-intact",7,"3D-CNN","cindex",0.6289782794146598
"Training cohort","IDHmut-intact",8,"3D-CNN","cindex",0.67564031947122
"Training cohort","IDHmut-intact",9,"3D-CNN","cindex",0.6619178082191781
"Training cohort","IDHmut-intact",10,"3D-CNN","cindex",0.6511814177012415
"Training cohort","IDHmut-intact",11,"3D-CNN","cindex",0.6322089993662419
"Training cohort","IDHmut-intact",12,"3D-CNN","cindex",0.6816112084063047
"Training cohort","IDHmut-intact",13,"3D-CNN","cindex",0.62938126512271
"Training cohort","IDHmut-intact",14,"3D-CNN","cindex",0.687134291699776
"Training cohort","IDHmut-intact",15,"3D-CNN","cindex",0.6688667992047714
"Training cohort","IDHmut-intact",16,"3D-CNN","cindex",0.6735537190082644
"Training cohort","IDHmut-intact",17,"3D-CNN","cindex",0.6240693892302132
"Training cohort","IDHmut-intact",18,"3D-CNN","cindex",0.6131268933019185
"Training cohort","IDHmut-intact",19,"3D-CNN","cindex",0.6207562971075179
"Training cohort","IDHmut-intact",20,"3D-CNN","cindex",0.7214822162391952
"Training cohort","IDHmut-intact",21,"3D-CNN","cindex",0.6721265963353693
"Training cohort","IDHmut-intact",22,"3D-CNN","cindex",0.596544564733798
"Training cohort","IDHmut-intact",23,"3D-CNN","cindex",0.6577434067023598
"Training cohort","IDHmut-intact",24,"3D-CNN","cindex",0.6550715945723068
"Training cohort","IDHmut-intact",25,"3D-CNN","cindex",0.624670318523027
"Training cohort","IDHmut-intact",26,"3D-CNN","cindex",0.6722774432271639
"Training cohort","IDHmut-intact",27,"3D-CNN","cindex",0.6043269546919182
"Training cohort","IDHmut-intact",28,"3D-CNN","cindex",0.6677910147839816
"Training cohort","IDHmut-intact",29,"3D-CNN","cindex",0.6593413634033829
"Training cohort","IDHmut-intact",30,"3D-CNN","cindex",0.6649324429259202
"Training cohort","IDHmut-intact",31,"3D-CNN","cindex",0.6467372257657531
"Training cohort","IDHmut-intact",32,"3D-CNN","cindex",0.6936263736263737
"Training cohort","IDHmut-intact",33,"3D-CNN","cindex",0.5852079728257387
"Training cohort","IDHmut-intact",34,"3D-CNN","cindex",0.6233675224565204
"Training cohort","IDHmut-intact",35,"3D-CNN","cindex",0.6500931365525147
"Training cohort","IDHmut-intact",36,"3D-CNN","cindex",0.6434043105686835
"Training cohort","IDHmut-intact",37,"3D-CNN","cindex",0.6831828948210742
"Training cohort","IDHmut-intact",38,"3D-CNN","cindex",0.6584837991590403
"Training cohort","IDHmut-intact",39,"3D-CNN","cindex",0.6615553874716358
"Training cohort","IDHmut-intact",40,"3D-CNN","cindex",0.6242584472530307
"Training cohort","IDHmut-intact",41,"3D-CNN","cindex",0.6650745829965464
"Training cohort","IDHmut-intact",42,"3D-CNN","cindex",0.6550713795898011
"Training cohort","IDHmut-intact",43,"3D-CNN","cindex",0.6613632024438363
"Training cohort","IDHmut-intact",44,"3D-CNN","cindex",0.6478382581648523
"Training cohort","IDHmut-intact",45,"3D-CNN","cindex",0.6204788213627992
"Training cohort","IDHmut-intact",46,"3D-CNN","cindex",0.6766507828454731
"Training cohort","IDHmut-intact",47,"3D-CNN","cindex",0.6832148128270495
"Training cohort","IDHmut-intact",48,"3D-CNN","cindex",0.6366202731092436
"Training cohort","IDHmut-intact",49,"3D-CNN","cindex",0.6700753126511435
"Training cohort","IDHmut-intact",50,"3D-CNN","cindex",0.6989190264606406
"Training cohort","IDHmut-intact",51,"3D-CNN","cindex",0.604344257119404
"Training cohort","IDHmut-intact",52,"3D-CNN","cindex",0.6320413436692507
"Training cohort","IDHmut-intact",53,"3D-CNN","cindex",0.6970511140235911
"Training cohort","IDHmut-intact",54,"3D-CNN","cindex",0.6486702127659575
"Training cohort","IDHmut-intact",55,"3D-CNN","cindex",0.6855517220507233
"Training cohort","IDHmut-intact",56,"3D-CNN","cindex",0.6330268981954376
"Training cohort","IDHmut-intact",57,"3D-CNN","cindex",0.7072589382448538
"Training cohort","IDHmut-intact",58,"3D-CNN","cindex",0.6182323675738952
"Training cohort","IDHmut-intact",59,"3D-CNN","cindex",0.6178843896713615
"Training cohort","IDHmut-intact",60,"3D-CNN","cindex",0.6066760753512916
"Training cohort","IDHmut-intact",61,"3D-CNN","cindex",0.7147660409078174
