"cohort","subtype","model","time_months","risk_quantile","n","predicted_event_probability","observed_event_probability"
"Training cohort","IDHmut-intact","Clinicoradiologic",24,1,48,0.1494764530979857,0.13528138528138545
"Training cohort","IDHmut-intact","Clinicoradiologic",24,2,48,0.2168958590807843,0.2603447991870049
"Training cohort","IDHmut-intact","Clinicoradiologic",24,3,47,0.27539897854162987,0.2198632841741185
"Training cohort","IDHmut-intact","Clinicoradiologic",24,4,47,0.34823818609593127,0.350766976894464
"Training cohort","IDHmut-intact","Clinicoradiologic",24,5,47,0.5050990933659681,0.5427702996092055
"Training cohort","IDHmut-intact","3D-CNN",24,1,48,0.13163275485019044,0.21934837341814106
"Training cohort","IDHmut-intact","3D-CNN",24,2,48,0.22342842677104582,0.2317900246494089
"Training cohort","IDHmut-intact","3D-CNN",24,3,47,0.29277128963077154,0.20016728527366834
"Training cohort","IDHmut-intact","3D-CNN",24,4,47,0.3782400822938697,0.3698244193460586
"Training cohort","IDHmut-intact","3D-CNN",24,5,47,0.5352683996333829,0.5469631740645636
"Training cohort","IDHmut-intact","3D-ViT",24,1,48,0.12070891079005487,0.16666666666666685
"Training cohort","IDHmut-intact","3D-ViT",24,2,48,0.19747604879686795,0.19154776451983913
"Training cohort","IDHmut-intact","3D-ViT",24,3,47,0.2831481497195636,0.30057242945402707
"Training cohort","IDHmut-intact","3D-ViT",24,4,47,0.38737373473802184,0.328050148893013
"Training cohort","IDHmut-intact","3D-ViT",24,5,47,0.6143241213044908,0.6524561383861316
"Training cohort","IDHmut-intact","CR-ViT",24,1,48,0.09481048259637594,0.1531119465329992
"Training cohort","IDHmut-intact","CR-ViT",24,2,48,0.161692483418867,0.1351313125675463
"Training cohort","IDHmut-intact","CR-ViT",24,3,47,0.24643885925275,0.18033877556451505
"Training cohort","IDHmut-intact","CR-ViT",24,4,47,0.3794020611393212,0.42232500770891157
"Training cohort","IDHmut-intact","CR-ViT",24,5,47,0.6735379119730619,0.7362396344076855
"Training cohort","IDHmut-codel","Clinicoradiologic",24,1,38,0.08803599165602405,0.08506944444444442
"Training cohort","IDHmut-codel","Clinicoradiologic",24,2,38,0.1463653199620049,0.08995528035775713
"Training cohort","IDHmut-codel","Clinicoradiologic",24,3,38,0.20255927470027874,0.19071873231465752
"Training cohort","IDHmut-codel","Clinicoradiologic",24,4,38,0.26188084602853756,0.3336902778738735
"Training cohort","IDHmut-codel","Clinicoradiologic",24,5,37,0.40063898174429957,0.4028308822524619
"Training cohort","IDHmut-codel","3D-CNN",24,1,38,0.10003676951937962,0.18421052631578927
"Training cohort","IDHmut-codel","3D-CNN",24,2,38,0.15854888984178991,0.0831918505942274
"Training cohort","IDHmut-codel","3D-CNN",24,3,38,0.2168046006453849,0.17700538607645078
"Training cohort","IDHmut-codel","3D-CNN",24,4,38,0.27415697232376934,0.2351028433151845
"Training cohort","IDHmut-codel","3D-CNN",24,5,37,0.4140707434140067,0.4596736655405408
"Training cohort","IDHmut-codel","3D-ViT",24,1,38,0.07547980084222779,0.10526315789473673
"Training cohort","IDHmut-codel","3D-ViT",24,2,38,0.12849621119486104,0.1083591331269349
"Training cohort","IDHmut-codel","3D-ViT",24,3,38,0.20753138745114164,0.2569659442724458
"Training cohort","IDHmut-codel","3D-ViT",24,4,38,0.2862363419614587,0.25687193692733856
"Training cohort","IDHmut-codel","3D-ViT",24,5,37,0.5198385735374644,0.4226130724986559
"Training cohort","IDHmut-codel","CR-ViT",24,1,38,0.040198845713859795,0.02777777777777779
"Training cohort","IDHmut-codel","CR-ViT",24,2,38,0.09759570122960287,0.08049535603715163
"Training cohort","IDHmut-codel","CR-ViT",24,3,38,0.18070381807825728,0.17268661850705191
"Training cohort","IDHmut-codel","CR-ViT",24,4,38,0.29314347033499205,0.36615497076023384
"Training cohort","IDHmut-codel","CR-ViT",24,5,37,0.5756746589746696,0.5390342635534944
"Training cohort","GBM","Clinicoradiologic",12,1,84,0.4101911081013119,0.38575396287765873
"Training cohort","GBM","Clinicoradiologic",12,2,84,0.5417801697774923,0.5705259229131963
"Training cohort","GBM","Clinicoradiologic",12,3,83,0.6252664804069976,0.6258443132476675
"Training cohort","GBM","Clinicoradiologic",12,4,83,0.7154596979490774,0.7411396248122464
"Training cohort","GBM","Clinicoradiologic",12,5,83,0.8283530060154696,0.7895676272340826
"Training cohort","GBM","3D-CNN",12,1,84,0.3972067620267107,0.3809523809523808
"Training cohort","GBM","3D-CNN",12,2,84,0.550971709387677,0.5387783115991766
"Training cohort","GBM","3D-CNN",12,3,83,0.6289303064249895,0.650572600794541
"Training cohort","GBM","3D-CNN",12,4,83,0.7195722125853566,0.7328866013504565
"Training cohort","GBM","3D-CNN",12,5,83,0.8311232918932723,0.8255068203095608
"Training cohort","GBM","3D-ViT",12,1,84,0.29575204533071975,0.2632850241545891
"Training cohort","GBM","3D-ViT",12,2,84,0.5222042732986913,0.5485040169914118
"Training cohort","GBM","3D-ViT",12,3,83,0.6644305818943842,0.664578313253012
"Training cohort","GBM","3D-ViT",12,4,83,0.7683716691784096,0.7469917857813804
"Training cohort","GBM","3D-ViT",12,5,83,0.9116505960590826,0.9294521454350984
"Training cohort","GBM","CR-ViT",12,1,84,0.2308621106769604,0.25301195478191263
"Training cohort","GBM","CR-ViT",12,2,84,0.4632019093369054,0.4880174291938999
"Training cohort","GBM","CR-ViT",12,3,83,0.6532551464596679,0.6284954005210026
"Training cohort","GBM","CR-ViT",12,4,83,0.8270653124080768,0.8290399845005365
"Training cohort","GBM","CR-ViT",12,5,83,0.9685115482210148,0.9589074309661004
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,1,21,0.15666934324244472,0.23809523809523836
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,2,21,0.21365087184333664,0.36363636363636365
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,3,21,0.279947646374397,0.5198856870683496
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,4,20,0.3594165794307782,0.4583333333333335
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",24,5,20,0.4631890651631335,0.4843333333333334
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,1,21,0.16877913493703514,0.29841269841269846
"Temporal validation cohort","IDHmut-intact","3D-CNN",24,2,21,0.25957597294531903,0.227008547008547
