"cohort","subtype","time_months","threshold","strategy","net_benefit","n"
"Training cohort","IDHmut-intact",24,0.1,"Treat all",0.22572729319109644,237
"Training cohort","IDHmut-intact",24,0.1,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.1,"Clinicoradiologic",0.22572729319109644,237
"Training cohort","IDHmut-intact",24,0.1,"3D-CNN",0.22470165689780633,237
"Training cohort","IDHmut-intact",24,0.1,"3D-ViT",0.22729653381296383,237
"Training cohort","IDHmut-intact",24,0.1,"CR-ViT",0.2217013143449699,237
"Training cohort","IDHmut-intact",24,0.125,"Treat all",0.20360521585369923,237
"Training cohort","IDHmut-intact",24,0.125,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.125,"Clinicoradiologic",0.20221969867015094,237
"Training cohort","IDHmut-intact",24,0.125,"3D-CNN",0.20771679499750392,237
"Training cohort","IDHmut-intact",24,0.125,"3D-ViT",0.19139902637147144,237
"Training cohort","IDHmut-intact",24,0.125,"CR-ViT",0.20825388574365594,237
"Training cohort","IDHmut-intact",24,0.15000000000000002,"Treat all",0.18018183984939623,237
"Training cohort","IDHmut-intact",24,0.15000000000000002,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.15000000000000002,"Clinicoradiologic",0.18024592192796143,237
"Training cohort","IDHmut-intact",24,0.15000000000000002,"3D-CNN",0.17929353894204442,237
"Training cohort","IDHmut-intact",24,0.15000000000000002,"3D-ViT",0.17640077688768693,237
"Training cohort","IDHmut-intact",24,0.15000000000000002,"CR-ViT",0.18186390182138623,237
"Training cohort","IDHmut-intact",24,0.17500000000000002,"Treat all",0.15533886529937793,237
"Training cohort","IDHmut-intact",24,0.17500000000000002,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.17500000000000002,"Clinicoradiologic",0.16286471932593266,237
"Training cohort","IDHmut-intact",24,0.17500000000000002,"3D-CNN",0.14592831570274648,237
"Training cohort","IDHmut-intact",24,0.17500000000000002,"3D-ViT",0.16464214707810057,237
"Training cohort","IDHmut-intact",24,0.17500000000000002,"CR-ViT",0.16751610174724635,237
"Training cohort","IDHmut-intact",24,0.2,"Treat all",0.1289432048399835,237
"Training cohort","IDHmut-intact",24,0.2,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.2,"Clinicoradiologic",0.14076577124080636,237
"Training cohort","IDHmut-intact",24,0.2,"3D-CNN",0.12655636818480287,237
"Training cohort","IDHmut-intact",24,0.2,"3D-ViT",0.13542713983930676,237
"Training cohort","IDHmut-intact",24,0.2,"CR-ViT",0.16334593414930204,237
"Training cohort","IDHmut-intact",24,0.225,"Treat all",0.10084459854449909,237
"Training cohort","IDHmut-intact",24,0.225,"Treat none",0,237
"Training cohort","IDHmut-intact",24,0.225,"Clinicoradiologic",0.11392122136220048,237
"Training cohort","IDHmut-intact",24,0.225,"3D-CNN",0.11051650163044376,237
"Training cohort","IDHmut-intact",24,0.225,"3D-ViT",0.12644027682577044,237
"Training cohort","IDHmut-intact",24,0.225,"CR-ViT",0.15449913082475572,237
"Training cohort","IDHmut-intact",24,0.25,"Treat all",0.07087275182931574,237
"Training cohort","IDHmut-intact",24,0.25,"Treat none",0,237
