"cohort","subtype","model","time_months","brier","ibs"
"Training cohort","IDHmut-intact","Clinicoradiologic",6,0.07139528951390316,0.16701758926112423
"Training cohort","IDHmut-intact","Clinicoradiologic",12,0.1398800942833174,0.16701758926112423
"Training cohort","IDHmut-intact","Clinicoradiologic",18,0.17252882934799407,0.16701758926112423
"Training cohort","IDHmut-intact","Clinicoradiologic",24,0.1873998717034016,0.16701758926112423
"Training cohort","IDHmut-intact","Clinicoradiologic",30,0.19758079411648527,0.16701758926112423
"Training cohort","IDHmut-intact","Clinicoradiologic",36,0.20400142419494255,0.16701758926112423
"Training cohort","IDHmut-intact","3D-CNN",6,0.0705344033929839,0.16448799969091682
"Training cohort","IDHmut-intact","3D-CNN",12,0.13938292117239956,0.16448799969091682
"Training cohort","IDHmut-intact","3D-CNN",18,0.16550314083751996,0.16448799969091682
"Training cohort","IDHmut-intact","3D-CNN",24,0.18741904692717748,0.16448799969091682
"Training cohort","IDHmut-intact","3D-CNN",30,0.19578506278800784,0.16448799969091682
"Training cohort","IDHmut-intact","3D-CNN",36,0.19816525006597466,0.16448799969091682
"Training cohort","IDHmut-intact","3D-ViT",6,0.06923130065663728,0.1533668990324329
"Training cohort","IDHmut-intact","3D-ViT",12,0.13502583827217304,0.1533668990324329
"Training cohort","IDHmut-intact","3D-ViT",18,0.15629357396558566,0.1533668990324329
"Training cohort","IDHmut-intact","3D-ViT",24,0.1717589228837883,0.1533668990324329
"Training cohort","IDHmut-intact","3D-ViT",30,0.17858011098933768,0.1533668990324329
"Training cohort","IDHmut-intact","3D-ViT",36,0.18112079744592213,0.1533668990324329
"Training cohort","IDHmut-intact","CR-ViT",6,0.06750253641765223,0.13967592996186562
"Training cohort","IDHmut-intact","CR-ViT",12,0.12763233455412382,0.13967592996186562
"Training cohort","IDHmut-intact","CR-ViT",18,0.1500068407118216,0.13967592996186562
"Training cohort","IDHmut-intact","CR-ViT",24,0.15391622184566722,0.13967592996186562
"Training cohort","IDHmut-intact","CR-ViT",30,0.15550807904187422,0.13967592996186562
"Training cohort","IDHmut-intact","CR-ViT",36,0.15512981089403013,0.13967592996186562
"Training cohort","IDHmut-codel","Clinicoradiologic",6,0.050305720323488325,0.14029353748199033
"Training cohort","IDHmut-codel","Clinicoradiologic",12,0.1081460037590711,0.14029353748199033
"Training cohort","IDHmut-codel","Clinicoradiologic",18,0.14248503037650556,0.14029353748199033
"Training cohort","IDHmut-codel","Clinicoradiologic",24,0.15930572092102224,0.14029353748199033
