"cohort","subtype","n","events","analysis_horizon_months","low_risk_n","high_risk_n","high_vs_low_hr","ci_low","ci_high","cox_p_value","logrank_p_value","ph_p_risk_group","ph_p_global"
"Training cohort","IDHmut-intact",237,93,,118,119,4.915106143745678,3.075961231148872,7.853892357174931,2.7637480009939816e-11,3.9102054927298013e-13,0.5788978009045113,0.5788978009045113
"Training cohort","IDHmut-codel",189,58,,94,95,4.1676470365431575,2.3290711659946792,7.457600297837632,1.5261979794466857e-6,2.03605727389089e-7,0.2454872573255204,0.2454872573255204
"Training cohort","GBM",417,329,,208,209,3.4769691270268157,2.7368969450905305,4.417160950098444,1.8828275727473703e-24,0,0.7721663799640718,0.7721663799640718
"Temporal validation cohort","IDHmut-intact",103,49,,46,57,2.779163122767042,1.528197946845913,5.054153932669191,8.087313768994365e-4,5.108775248970909e-4,0.6631192024771592,0.6631192024771592
"Temporal validation cohort","IDHmut-codel",84,24,,51,33,2.7675423167430777,1.2216796552497788,6.269475342451912,0.014692443980263922,0.011131255556086073,0.7366260962329042,0.7366260962329042
"Temporal validation cohort","GBM",175,138,,91,84,3.5898329262719346,2.4707449493733535,5.21579552021935,2.0086357637193998e-11,1.3881118476888332e-12,0.87390776904751,0.87390776904751
"Spatial validation cohort","IDHmut-intact",196,72,,79,117,3.078955538545786,1.8212275557999749,5.205262339761653,2.6957197163007156e-5,1.1785714393086621e-5,0.642599109763286,0.642599109763286
"Spatial validation cohort","IDHmut-codel",150,45,,83,67,3.9624109188130094,2.1228981112693317,7.3958802856255454,1.5311296320062708e-5,3.6713985779313063e-6,0.6438894218322702,0.6438894218322702
"Spatial validation cohort","GBM",329,251,,175,154,3.541266684324296,2.7068976751846168,4.632820015499808,2.859411085566273e-20,0,0.4664083701891559,0.4664083701891559
"GBM multi-omics subset","GBM",150,116,,83,67,3.808567043276901,2.5379326513159093,5.715353760713103,1.0671046705853886e-10,7.1807004786705875e-12,0.887919166469306,0.887919166469306
