"cohort","subtype","comparison","metric","difference","ci_low","ci_high","p_value","p_formatted"
"Training cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","cindex",-0.001731160896130346,-0.07731250893308139,0.06791217075323364,0.9656997193170459,"0.966"
"Training cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","iauc",0.013634344686907718,-0.08168185226137586,0.09409831424675266,0.7880920640444892,"0.788"
"Training cohort","IDHmut-intact","3D-CNN vs Clinicoradiologic","ibs",-0.002529589570207408,-0.01643712777333373,0.013292080774241039,0.7499278203524802,"0.750"
"Training cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","cindex",0.026306856754921837,-0.04333687092595612,0.09495625322410692,0.4874242702433115,"0.487"
"Training cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","iauc",0.055401197194592355,-0.03196199553580115,0.14369924836086326,0.2533744104512156,"0.253"
"Training cohort","IDHmut-intact","3D-ViT vs Clinicoradiologic","ibs",-0.013650690228691337,-0.03100487976597415,0.001473094886163321,0.12303497215336252,"0.123"
"Training cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","cindex",0.08007467752885267,0.03347591422577631,0.1287921003880633,0.0023904413707794107,"0.002"
"Training cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","iauc",0.10633934491154085,0.04677153581464083,0.17783976950556654,0.0014258462596642967,"0.001"
"Training cohort","IDHmut-intact","CR-ViT vs Clinicoradiologic","ibs",-0.02734165929925861,-0.04194159608257498,-0.01657958331025742,2.7732414143265114e-5,"<0.001"
"Training cohort","IDHmut-intact","3D-ViT vs 3D-CNN","cindex",0.028038017651052183,-0.0035904166128338656,0.06091044109850204,0.11137126420993605,"0.111"
"Training cohort","IDHmut-intact","3D-ViT vs 3D-CNN","iauc",0.04176685250768464,0.0019585157879464304,0.07693528473753025,0.04151087319785524,"0.042"
"Training cohort","IDHmut-intact","3D-ViT vs 3D-CNN","ibs",-0.011121100658483929,-0.019040466297526225,-0.0041837153099556715,0.003954328639895264,"0.004"
"Training cohort","IDHmut-intact","CR-ViT vs 3D-CNN","cindex",0.08180583842498301,0.039884554682980064,0.13870099873877054,8.85839555211277e-4,"<0.001"
"Training cohort","IDHmut-intact","CR-ViT vs 3D-CNN","iauc",0.09270500022463313,0.04678718830420498,0.15102540465028008,0.0017572201909588575,"0.002"
"Training cohort","IDHmut-intact","CR-ViT vs 3D-CNN","ibs",-0.0248120697290512,-0.036490300931073194,-0.01390775798300305,3.64569890279172e-5,"<0.001"
"Training cohort","IDHmut-intact","CR-ViT vs 3D-ViT","cindex",0.05376782077393083,0.023256248573772672,0.08916743220404576,0.0023114579471003225,"0.002"
"Training cohort","IDHmut-intact","CR-ViT vs 3D-ViT","iauc",0.05093814771694849,0.014770767361156078,0.09555526222470336,0.02174975287975211,"0.022"
"Training cohort","IDHmut-intact","CR-ViT vs 3D-ViT","ibs",-0.013690969070567272,-0.025057831593270977,-0.004203091980486046,0.010439625064643993,"0.010"
"Training cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","cindex",-0.015592650103519734,-0.13000412484765728,0.06774684543203144,0.7746284121895671,"0.775"
"Training cohort","IDHmut-codel","3D-CNN vs Clinicoradiologic","iauc",0.026826998121276202,-0.12115297104913189,0.1273765022112342,0.6795227436313314,"0.680"
