"cohort","subtype","model","n","events","cindex","cindex_low","cindex_high","iauc","iauc_low","iauc_high","ibs","ibs_low","ibs_high"
"Training cohort","IDHmut-intact","3D-CNN",237,93,0.6468431771894094,0.5811785621151828,0.7127743406444076,0.6945051442530418,0.6289184201911133,0.7780888903783969,0.16448799969091682,0.1440628399888114,0.18790541487186477
"Training cohort","IDHmut-intact","Clinicoradiologic",237,93,0.6485743380855398,0.6028804301097457,0.7045177347963736,0.680870799566134,0.6178010433370211,0.7502028123718907,0.16701758926112423,0.14799099537092553,0.18956277424774975
"Training cohort","IDHmut-intact","3D-ViT",237,93,0.6748811948404616,0.6272075845598736,0.734455965600612,0.7362719967607264,0.677408987552421,0.8023603782935764,0.1533668990324329,0.13275545268648248,0.17586554444889613
"Training cohort","IDHmut-intact","CR-ViT",237,93,0.7286490156143924,0.6830781172661944,0.7876140599685826,0.7872101444776749,0.7367624598058322,0.8494726264233308,0.13967592996186562,0.12026755001899628,0.16342795531087953
"Training cohort","IDHmut-codel","3D-CNN",189,58,0.650103519668737,0.5831456602987756,0.7156492415231694,0.6987702645280505,0.6187765582249041,0.7710695713927139,0.13463543578219497,0.10741338944734607,0.16355617816444745
"Training cohort","IDHmut-codel","Clinicoradiologic",189,58,0.6656961697722568,0.6068442634317361,0.7454654543837148,0.6719432664067743,0.60161830297613,0.7690058531846026,0.14029353748199033,0.10964614332176162,0.16524093190620043
"Training cohort","IDHmut-codel","3D-ViT",189,58,0.6853649068322981,0.6254933643006928,0.7483005950234229,0.7527590143129597,0.6885787127593016,0.8300935526154921,0.12138263034342311,0.09687542638999923,0.14635319335062025
"Training cohort","IDHmut-codel","CR-ViT",189,58,0.7507763975155279,0.6971616124698321,0.8168597540700148,0.8102707032865294,0.7601558726135039,0.8802541061304517,0.1134021384343726,0.08862111379429988,0.133082479707818
"Training cohort","GBM","3D-CNN",417,329,0.6372746007212777,0.6111303912232348,0.6667684078313654,0.7741295496482575,0.73932246138675,0.8016359014204582,0.15646532369395397,0.14509894815802563,0.17324078972334256
"Training cohort","GBM","Clinicoradiologic",417,329,0.6270350334878928,0.5924842796239461,0.6613373227262109,0.6982493540723331,0.6517891598495501,0.7500832233825667,0.16832857570319829,0.15460775354547518,0.1859966112534286
"Training cohort","GBM","3D-ViT",417,329,0.6865597630087583,0.6541972877782669,0.7110332605979621,0.842158399734415,0.809422784955894,0.8637874390504188,0.13495961145413035,0.1262181219458306,0.15157008932422222
"Training cohort","GBM","CR-ViT",417,329,0.7183088614116435,0.6904062962459317,0.7405477576153789,0.8748679701864247,0.8526579186425586,0.8996163743933354,0.12076753803594274,0.11051346916113317,0.13255458218369076
"Temporal validation cohort","IDHmut-intact","3D-CNN",103,49,0.5988867059593975,0.5116419277988967,0.7039628978662695,0.6299395300527622,0.5173933266818318,0.7535024969881448,0.19012836456399065,0.1571532520847771,0.2226363635917092
"Temporal validation cohort","IDHmut-intact","Clinicoradiologic",103,49,0.6080550098231827,0.5170564377866358,0.7068211331291281,0.6463309786847342,0.5348864144062081,0.7730266809465816,0.19708235543348065,0.16445124088915444,0.23814104007317016
"Temporal validation cohort","IDHmut-intact","3D-ViT",103,49,0.6720694171578259,0.574162890450719,0.7662409338317266,0.7224312578830541,0.6055089138898224,0.8393406332227273,0.16632044889040096,0.1333238106097528,0.20060527836367875
"Temporal validation cohort","IDHmut-intact","CR-ViT",103,49,0.6971185330713818,0.6206287704682563,0.7785259713514552,0.7513142330271084,0.666248937422017,0.8427118803339111,0.1632242362494179,0.12559000409908788,0.20101108078481433
"Temporal validation cohort","IDHmut-codel","3D-CNN",84,24,0.6338329764453962,0.5038534660582101,0.7309993359893758,0.6779765896086825,0.5208142647176248,0.7908065764569008,0.12916269411622874,0.09161153359965366,0.1682644936387115
"Temporal validation cohort","IDHmut-codel","Clinicoradiologic",84,24,0.6488222698072805,0.5399786976312358,0.7488576272279462,0.6784879741582657,0.5578444692145909,0.7796883614206345,0.1405556907633317,0.10991927316929814,0.18001894263477528
"Temporal validation cohort","IDHmut-codel","3D-ViT",84,24,0.6780870806566738,0.5608889975019007,0.7616924666831194,0.7361498838921142,0.5743688938080989,0.8648636716806775,0.12081757992488555,0.08392122350284198,0.15770758109460536
"Temporal validation cohort","IDHmut-codel","CR-ViT",84,24,0.7330478229835832,0.6224568045797554,0.8315994735162731,0.7769445698636728,0.6447339327745238,0.8889036603495073,0.12288735368136529,0.0861801516050695,0.1675370879889736
"Temporal validation cohort","GBM","3D-CNN",175,138,0.6118019277463027,0.5662621532230736,0.6598160025390869,0.7432051973093221,0.6725736636004866,0.8189353530052919,0.15394966198955837,0.13541939009618364,0.17296497924588083
"Temporal validation cohort","GBM","Clinicoradiologic",175,138,0.6109557795600029,0.572595170760103,0.6510098553145232,0.7248502920557398,0.6583450003698729,0.8051483944173141,0.16104535813846238,0.1418960338188171,0.18780773426877123
"Temporal validation cohort","GBM","3D-ViT",175,138,0.6707011993230815,0.6279337897728443,0.7200589299660392,0.8308183884574992,0.7906996909988884,0.8806300953051802,0.133351755170923,0.1156948868451651,0.1512932164146308
"Temporal validation cohort","GBM","CR-ViT",175,138,0.7046574939298065,0.6623518093877976,0.7476607427308497,0.8755834592868629,0.833352565921623,0.9179078808765471,0.11757517423988544,0.10156398824694013,0.13481603045162774
"Spatial validation cohort","IDHmut-intact","3D-CNN",196,72,0.6163400182315406,0.5535478682124065,0.6692549886274028,0.640181728854491,0.5422316837007668,0.7148082758914995,0.15374010737622754,0.1301761713054585,0.1743920415794189
"Spatial validation cohort","IDHmut-intact","Clinicoradiologic",196,72,0.6352552415679125,0.5683618411535646,0.7150300019031619,0.6700589234986729,0.5760368990796172,0.7564327759101732,0.15464509475735558,0.13305067221929007,0.17829683539838725
"Spatial validation cohort","IDHmut-intact","3D-ViT",196,72,0.6414653600729261,0.5755514375409484,0.6985436160564705,0.6947043509540358,0.6163522556332335,0.7717771819196682,0.1450904238026945,0.12077206049055175,0.16318565489543846
"Spatial validation cohort","IDHmut-intact","CR-ViT",196,72,0.6929124886052871,0.6379598094523509,0.7468135145049923,0.7545495655425959,0.6806116975519683,0.8242596071221088,0.13623676500136706,0.11526569503231075,0.1583312968117373
"Spatial validation cohort","IDHmut-codel","3D-CNN",150,45,0.5777403745003156,0.5073990539630069,0.6622006473703679,0.634078093002541,0.5401138282585206,0.7277453535908506,0.1498508967399366,0.12083514688348583,0.17714246347885515
"Spatial validation cohort","IDHmut-codel","Clinicoradiologic",150,45,0.6296023564064801,0.5649039425871245,0.7047361458168835,0.6479889745553566,0.5439640045561183,0.7553002686309301,0.1572048386462893,0.12993534251338978,0.1857877238797785
"Spatial validation cohort","IDHmut-codel","3D-ViT",150,45,0.6463286345466022,0.5803157121202454,0.7296064288549053,0.7194004973539906,0.6429715496437398,0.8122174886151663,0.1353901377235408,0.10728478607195777,0.16355250548493117
"Spatial validation cohort","IDHmut-codel","CR-ViT",150,45,0.696191878813381,0.6289305333051916,0.7653552152802636,0.7471750367103869,0.6561753802847905,0.83231977996481,0.13492473947982972,0.10706594381496745,0.1670209679796307
"Spatial validation cohort","GBM","3D-CNN",329,251,0.6135531914893617,0.5731519344721367,0.6473168630085031,0.7495151611305084,0.6844359862010421,0.7952709437398908,0.16508321716479316,0.15126050562674487,0.18219444436164867
"Spatial validation cohort","GBM","Clinicoradiologic",329,251,0.6233510638297872,0.5768818319001452,0.6521224347257395,0.7005994767011791,0.6282296282609889,0.7431144769428646,0.17927845520385763,0.16018761032848405,0.19590795393218113
"Spatial validation cohort","GBM","3D-ViT",329,251,0.6543617021276595,0.6174951411118159,0.6852807046976075,0.8078839811725135,0.7629534202246022,0.8441898510061812,0.14881761940803484,0.13494175864204722,0.16416323017578666
"Spatial validation cohort","GBM","CR-ViT",329,251,0.6955957446808511,0.6521509888688921,0.7297335790671824,0.8438932295818985,0.7974591103232734,0.8713923242802277,0.13784248370771232,0.1262104714546411,0.15891868557586783
"GBM multi-omics subset","GBM","3D-CNN",150,116,0.6238754675022744,0.5644216606215153,0.6742527303253709,0.7404196361974075,0.6196873414335182,0.8200816732095306,0.15868098204166614,0.14072169698151626,0.17996894091379867
"GBM multi-omics subset","GBM","Clinicoradiologic",150,116,0.6067926816941271,0.5591661763527978,0.6436702235691018,0.7194808841312503,0.6418801475388654,0.7867471586838828,0.16679930524326356,0.1440139751429444,0.19525746355809567
"GBM multi-omics subset","GBM","3D-ViT",150,116,0.6768422116648135,0.6160713368794175,0.7227525761799956,0.8219504934541849,0.7414149340953521,0.8791491634815947,0.1391679376602947,0.12196782160084257,0.16001287458001773
"GBM multi-omics subset","GBM","CR-ViT",150,116,0.7130294147376933,0.6589419420175451,0.7489310676653119,0.8709141174876981,0.809568755033383,0.9193343519773085,0.12205807458248982,0.10212101677102818,0.1424606822675678
