"subtype","model","term","chisq","df","p_value"
"IDHmut-intact","3D-CNN","cnn_z",1.0167398937089718,1,0.31329356563476796
"IDHmut-intact","3D-CNN","GLOBAL",1.0167398937089718,1,0.31329356563476796
"IDHmut-intact","Clinicoradiologic","who_grade",3.844460072934308,2,0.14628038753043396
"IDHmut-intact","Clinicoradiologic","extent_of_resection",3.8023362199547375,1,0.051181124647593244
"IDHmut-intact","Clinicoradiologic","log_tumor_volume",0.0033673745245117836,1,0.9537254623210721
"IDHmut-intact","Clinicoradiologic","enhancing_ord",0.05468485656963038,1,0.8151030345798218
"IDHmut-intact","Clinicoradiologic","GLOBAL",7.585247601306365,5,0.18062349603974
"IDHmut-intact","3D-ViT","vit_z",2.5321037002344493,1,0.11155140614891135
"IDHmut-intact","3D-ViT","GLOBAL",2.5321037002344493,1,0.11155140614891135
"IDHmut-intact","CR-ViT","who_grade",3.823581287152753,2,0.14781546466358295
"IDHmut-intact","CR-ViT","extent_of_resection",3.0072626702794625,1,0.08289216499858726
"IDHmut-intact","CR-ViT","log_tumor_volume",0.2239474218956338,1,0.6360485020484097
"IDHmut-intact","CR-ViT","enhancing_ord",0.012992683165091135,1,0.9092493262535205
"IDHmut-intact","CR-ViT","vit_z",3.7616640633563003,1,0.05244036493847876
"IDHmut-intact","CR-ViT","GLOBAL",11.889469583177824,6,0.0644805173109801
"IDHmut-codel","3D-CNN","cnn_z",0.016124644838627317,1,0.8989539703675445
"IDHmut-codel","3D-CNN","GLOBAL",0.016124644838627317,1,0.8989539703675445
"IDHmut-codel","Clinicoradiologic","who_grade",2.149359584178228,1,0.14262937194215716
"IDHmut-codel","Clinicoradiologic","extent_of_resection",0.39247443766508605,1,0.5310015916972648
"IDHmut-codel","Clinicoradiologic","log_tumor_volume",0.602987472521644,1,0.4374404348523097
"IDHmut-codel","Clinicoradiologic","flair_ord",0.30500345280728375,1,0.5807625751470701
"IDHmut-codel","Clinicoradiologic","GLOBAL",3.1854467721105904,4,0.5272847454685614
"IDHmut-codel","3D-ViT","vit_z",1.4558859028837732,1,0.22758585269304912
"IDHmut-codel","3D-ViT","GLOBAL",1.4558859028837732,1,0.22758585269304912
"IDHmut-codel","CR-ViT","who_grade",1.8382291279890342,1,0.17515864616737417
"IDHmut-codel","CR-ViT","extent_of_resection",0.3144354253275733,1,0.5749710995879882
"IDHmut-codel","CR-ViT","log_tumor_volume",0.947074258186755,1,0.3304651394668768
"IDHmut-codel","CR-ViT","flair_ord",1.00988907532431,1,0.31492941459485135
"IDHmut-codel","CR-ViT","vit_z",0.5826205967303006,1,0.44528696006491003
"IDHmut-codel","CR-ViT","GLOBAL",4.030417089890099,5,0.5450450008834535
"GBM","3D-CNN","cnn_z",0.05263994237890831,1,0.8185316431266034
"GBM","3D-CNN","GLOBAL",0.05263994237890831,1,0.8185316431266034
"GBM","Clinicoradiologic","age",0.018148435543717027,1,0.8928363199606133
"GBM","Clinicoradiologic","mgmt_promoter_methylation",0.6660469860982908,1,0.4144332118506922
"GBM","Clinicoradiologic","extent_of_resection",0.20195814035149137,1,0.6531449124942025
"GBM","Clinicoradiologic","necrotic_ord",1.8631950851904298,1,0.17225649410923444
"GBM","Clinicoradiologic","ependymal_involvement",0.4579839537431738,1,0.4985676852901117
"GBM","Clinicoradiologic","GLOBAL",3.444901558097885,5,0.63174062985369706
"GBM","3D-ViT","vit_z",0.5056940362646495,1,0.4770088396559535
"GBM","3D-ViT","GLOBAL",0.5056940362646495,1,0.4770088396559535
"GBM","CR-ViT","age",0.6896819818561108,1,0.40627257153089147
"GBM","CR-ViT","mgmt_promoter_methylation",0.41965217269640626,1,0.5171106543543214
"GBM","CR-ViT","extent_of_resection",0.20706725566606704,1,0.6490758345673406
"GBM","CR-ViT","necrotic_ord",0.024414184883047182,1,0.8758356577028369
"GBM","CR-ViT","ependymal_involvement",0.034528991208948166,1,0.8525860912779184
"GBM","CR-ViT","vit_z",0.6372885453878926,1,0.4246943630006701
"GBM","CR-ViT","GLOBAL",1.9487161963211515,6,0.9243541828860132
