"cohort","subtype","model","time_months","auc","brier"
"Training cohort","IDHmut-intact","3D-CNN",6,0.690113133300541,0.0705344033929839
"Training cohort","IDHmut-intact","3D-CNN",12,0.6965073157290933,0.13938292117239956
"Training cohort","IDHmut-intact","3D-CNN",18,0.6869663927681826,0.16550314083751996
"Training cohort","IDHmut-intact","3D-CNN",24,0.6812334499432985,0.18741904692717748
"Training cohort","IDHmut-intact","3D-CNN",30,0.700191548892962,0.19578506278800784
"Training cohort","IDHmut-intact","3D-CNN",36,0.7251408945628052,0.19816525006597466
"Training cohort","IDHmut-intact","Clinicoradiologic",6,0.705607476635514,0.07139528951390316
"Training cohort","IDHmut-intact","Clinicoradiologic",12,0.6701628237079307,0.1398800942833174
"Training cohort","IDHmut-intact","Clinicoradiologic",18,0.6537581516585278,0.17252882934799407
"Training cohort","IDHmut-intact","Clinicoradiologic",24,0.6877760975666487,0.1873998717034016
"Training cohort","IDHmut-intact","Clinicoradiologic",30,0.6933987840442415,0.19758079411648527
"Training cohort","IDHmut-intact","Clinicoradiologic",36,0.6929088050711285,0.20400142419494255
"Training cohort","IDHmut-intact","3D-ViT",6,0.7346286276438762,0.06923130065663728
"Training cohort","IDHmut-intact","3D-ViT",12,0.7237658328161124,0.13502583827217304
"Training cohort","IDHmut-intact","3D-ViT",18,0.7231078635988165,0.15629357396558566
"Training cohort","IDHmut-intact","3D-ViT",24,0.731787786685183,0.1717589228837883
"Training cohort","IDHmut-intact","3D-ViT",30,0.752845770240239,0.17858011098933768
"Training cohort","IDHmut-intact","3D-ViT",36,0.7650768332826866,0.18112079744592213
"Training cohort","IDHmut-intact","CR-ViT",6,0.7833251352680768,0.06750253641765223
"Training cohort","IDHmut-intact","CR-ViT",12,0.7652465932494373,0.12763233455412382
"Training cohort","IDHmut-intact","CR-ViT",18,0.7578903547390422,0.1500068407118216
"Training cohort","IDHmut-intact","CR-ViT",24,0.7980182093236711,0.15391622184566722
"Training cohort","IDHmut-intact","CR-ViT",30,0.8119434452921385,0.15550807904187422
"Training cohort","IDHmut-intact","CR-ViT",36,0.8225791043000944,0.15512981089403013
"Training cohort","IDHmut-codel","3D-CNN",6,0.6620111731843575,0.04969285653900747
"Training cohort","IDHmut-codel","3D-CNN",12,0.7492031742838309,0.0999761161939019
"Training cohort","IDHmut-codel","3D-CNN",18,0.7003945619687793,0.13394473084623573
"Training cohort","IDHmut-codel","3D-CNN",24,0.6821116408941987,0.15643470094642895
"Training cohort","IDHmut-codel","3D-CNN",30,0.6865200462384184,0.1691291689773239
