"subtype","predictor","model_variable","model_matrix_column","penalized_coefficient","selected_penalty","lambda_selected"
"IDHmut-intact","WHO grade","who_grade","who_grade.L",0.28255814538052426,"lambda.min",0.0484208041250578
"IDHmut-intact","Extent of resection","extent_of_resection","extent_of_resectionSubtotal resection",0.10682092337584045,"lambda.min",0.0484208041250578
"IDHmut-intact","Tumor volume","log_tumor_volume","log_tumor_volume",0.4484305730405421,"lambda.min",0.0484208041250578
"IDHmut-intact","Enhancing tumor proportion","enhancing_ord","enhancing_ord",0.06268353526742951,"lambda.min",0.0484208041250578
"IDHmut-codel","WHO grade","who_grade","who_grade.L",0.3571723444612449,"lambda.min",0.05703601529504315
"IDHmut-codel","WHO grade","who_grade","who_grade.Q",-2.4131868624870734e-5,"lambda.min",0.05703601529504315
"IDHmut-codel","Extent of resection","extent_of_resection","extent_of_resectionSubtotal resection",0.2797898666720668,"lambda.min",0.05703601529504315
"IDHmut-codel","Tumor volume","log_tumor_volume","log_tumor_volume",0.0021146992563152744,"lambda.min",0.05703601529504315
"IDHmut-codel","Peritumoral T2/FLAIR abnormality extent","flair_ord","flair_ord",0.12310101266092423,"lambda.min",0.05703601529504315
"GBM","Age","age","age",0.014769637745270204,"lambda.min",0.05261056619713295
"GBM","MGMT promoter methylation","mgmt_promoter_methylation","mgmt_promoter_methylationUnmethylated",0.2319277307200085,"lambda.min",0.05261056619713295
"GBM","Extent of resection","extent_of_resection","extent_of_resectionSubtotal resection",0.2003714814716959,"lambda.min",0.05261056619713295
"GBM","Necrotic proportion","necrotic_ord","necrotic_ord",0.15490977304005052,"lambda.min",0.05261056619713295
"GBM","Ependymal involvement","ependymal_involvement","ependymal_involvementPresent",0.013382154965842087,"lambda.min",0.05261056619713295
