"subtype","predictor","model_variable","selection_source","selected_penalty","lambda_selected","lambda_min","lambda_1se"
"IDHmut-intact","WHO grade","who_grade","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.0484208041250578,0.0484208041250578,0.14787013926570608
"IDHmut-intact","Extent of resection","extent_of_resection","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.0484208041250578,0.0484208041250578,0.14787013926570608
"IDHmut-intact","Tumor volume","log_tumor_volume","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.0484208041250578,0.0484208041250578,0.14787013926570608
"IDHmut-intact","Enhancing tumor proportion","enhancing_ord","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.0484208041250578,0.0484208041250578,0.14787013926570608
"IDHmut-codel","WHO grade","who_grade","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05703601529504315,0.05703601529504315,0.09967205649954437
"IDHmut-codel","Extent of resection","extent_of_resection","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05703601529504315,0.05703601529504315,0.09967205649954437
"IDHmut-codel","Tumor volume","log_tumor_volume","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05703601529504315,0.05703601529504315,0.09967205649954437
"IDHmut-codel","Peritumoral T2/FLAIR abnormality extent","flair_ord","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05703601529504315,0.05703601529504315,0.09967205649954437
"GBM","Age","age","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05261056619713295,0.05261056619713295,0.13338696142830261
"GBM","MGMT promoter methylation","mgmt_promoter_methylation","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05261056619713295,0.05261056619713295,0.13338696142830261
"GBM","Extent of resection","extent_of_resection","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05261056619713295,0.05261056619713295,0.13338696142830261
"GBM","Necrotic proportion","necrotic_ord","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05261056619713295,0.05261056619713295,0.13338696142830261
"GBM","Ependymal involvement","ependymal_involvement","Training-cohort LASSO-Cox (alpha=1; lambda.min from 10-fold cross-validation by partial-likelihood deviance), followed by an unpenalized multivariable Cox refit on the original predictor scales","lambda.min",0.05261056619713295,0.05261056619713295,0.13338696142830261
