"subtype","factor","method","association","p_value","p_fdr"
"IDHmut-intact","Age","Spearman",0.067654582479455,0.29963741510222786,0.7579038955194496
"IDHmut-intact","Preoperative KPS","Spearman",-0.02856612714726162,0.6617240251881497,0.8585810224268156
"IDHmut-intact","Tumor volume","Spearman",0.22080673091565947,6.178406035248561e-4,0.00803192784582313
"IDHmut-intact","WHO grade","Spearman",0.016843690155501523,0.7964434573957889,0.8585810224268156
"IDHmut-intact","MGMT unmethylated","Spearman",0.02283817365528781,0.7265068459937765,0.8585810224268156
"IDHmut-intact","Subtotal resection","Spearman",-0.15794603074912628,0.01493341168459949,0.0970671759498967
"IDHmut-intact","Enhancing proportion","Spearman",0.14342026895058269,0.027266658923700334,0.11815552200270144
"IDHmut-intact","Necrotic proportion","Spearman",-0.011635208641693389,0.8585810224268156,0.8585810224268156
"IDHmut-intact","Peritumoral T2/FLAIR extent","Spearman",-0.0660227633985498,0.3114718660963276,0.7579038955194496
"IDHmut-intact","Ependymal involvement","Spearman",0.025285991074973067,0.6985513785889123,0.8585810224268156
"IDHmut-intact","Deep white matter invasion","Spearman",-0.0522082575136932,0.4236921092313325,0.7868567742867604
"IDHmut-intact","Enhancing tumor crossing midline","Spearman",-0.06099900720981266,0.3498017979320537,0.7579038955194496
"IDHmut-intact","Tumor location","Correlation ratio",0.1312719056267603,0.5434806204106841,0.8585810224268156
"IDHmut-codel","Age","Spearman",0.08314454056023683,0.25535601552312603,0.559295314009408
"IDHmut-codel","Preoperative KPS","Spearman",-0.016553398263308764,0.8211412298506451,0.951136646318298
"IDHmut-codel","Tumor volume","Spearman",0.14104812228327795,0.05287792377914972,0.559295314009408
"IDHmut-codel","WHO grade","Spearman",-0.05277607919546205,0.47076144132758335,0.764987342157323
"IDHmut-codel","MGMT unmethylated","Spearman",-0.0756027278993204,0.3011590152358351,0.559295314009408
"IDHmut-codel","Subtotal resection","Spearman",-0.009426457375075923,0.8975669360501138,0.951136646318298
"IDHmut-codel","Enhancing proportion","Spearman",0.10957543240139808,0.1333703354076503,0.559295314009408
"IDHmut-codel","Necrotic proportion","Spearman",-0.08202456751158442,0.2618359003033143,0.559295314009408
"IDHmut-codel","Peritumoral T2/FLAIR extent","Spearman",-0.03740047768820405,0.6093935053553443,0.8802350632910528
"IDHmut-codel","Ependymal involvement","Spearman",0.021566059917003805,0.7683363628027384,0.951136646318298
"IDHmut-codel","Deep white matter invasion","Spearman",0.004487170423004957,0.951136646318298,0.951136646318298
"IDHmut-codel","Enhancing tumor crossing midline","Spearman",-0.08543712202828009,0.24243876094492064,0.559295314009408
"IDHmut-codel","Tumor location","Correlation ratio",0.20103148524709033,0.17903195601349875,0.559295314009408
"GBM","Age","Spearman",0.11321941490224818,0.020749814476272492,0.17142989327443647
"GBM","Preoperative KPS","Spearman",-0.017344905314725236,0.7239712213634983,0.8687654656361979
"GBM","Tumor volume","Spearman",-0.04144540158116481,0.39857926659373777,0.6938642626750566
"GBM","WHO grade","Spearman",,,
"GBM","MGMT unmethylated","Spearman",0.0036017239384938723,0.9415445174859877,0.9990842462327845
"GBM","Subtotal resection","Spearman",0.040905760139319666,0.4047541532271164,0.6938642626750566
"GBM","Enhancing proportion","Spearman",-0.03265205153586185,0.5060827289245641,0.7591240933868462
"GBM","Necrotic proportion","Spearman",0.08029591261140676,0.1015444555758272,0.3046333667274816
"GBM","Peritumoral T2/FLAIR extent","Spearman",0.09826774965317342,0.04490781008858963,0.1796312403543585
"GBM","Ependymal involvement","Spearman",-0.020406473994878847,0.6777726961952848,0.8687654656361979
"GBM","Deep white matter invasion","Spearman",0.0497783792746101,0.31054421752885863,0.6938642626750566
"GBM","Enhancing tumor crossing midline","Spearman",-5.6373671706027473e-05,0.9990842462327845,0.9990842462327845
"GBM","Tumor location","Correlation ratio",0.1727512857452199,0.028571648879072743,0.17142989327443647
