"cohort","subtype","n","events","analysis_horizon_months","low_risk_n","high_risk_n","high_vs_low_hr","ci_low","ci_high","cox_p_value","logrank_p_value","ph_p_risk_group"
"Training cohort","IDHmut-intact",237,93,,118,119,3.382080452918624,2.1643811315782315,5.28486781885476,8.774660704484742e-8,1.615943907541652e-8,0.42153327242783506
"Training cohort","IDHmut-codel",189,58,,94,95,2.4020781625115757,1.4068289711090842,4.101407930394113,0.001325225553512093,9.519075362568485e-4,0.4747947132310705
"Training cohort","GBM",417,329,,208,209,3.3231190380760705,2.6120384046959213,4.227778627362566,1.431371345787027e-22,1.2571657392187672e-24,0.5634754379168602
"Temporal validation cohort","IDHmut-intact",103,49,,45,58,2.6341891714372765,1.440546303813964,4.816889656754497,0.0016589997545767728,0.0011449031823881131,0.28767822923232456
"Temporal validation cohort","IDHmut-codel",84,24,,43,41,3.09331083210866,1.3091461283029628,7.3090174558622,0.010053828350268254,0.006887238751862944,0.9971612919148001
"Temporal validation cohort","GBM",175,138,,97,78,2.6199524600444244,1.8378116780560638,3.7349587962969917,1.0156626316974815e-7,3.69232377405924e-8,0.9107835788378857
"Spatial validation cohort","IDHmut-intact",196,72,,92,104,2.4688760529715186,1.5144034467118628,4.024917519945366,2.897509798657552e-4,1.9227991148267417e-4,0.8909980900394141
"Spatial validation cohort","IDHmut-codel",150,45,,74,76,2.3032901803172443,1.2530720319940414,4.233711645693384,0.007224315764437697,0.005853583595545637,0.40676361395635136
"Spatial validation cohort","GBM",329,251,,178,151,2.628602993790853,2.015611149060163,3.428019190203434,9.770551009697326e-13,1.6552500056147418e-13,0.8097698999261789
"GBM multi-omics subset","GBM",150,116,,86,64,2.621312804416857,1.7872286915381712,3.8446567309111566,8.16446177532276e-7,3.3680339919964026e-7,0.6048982880671104
